ethnicity,sex,age,label,url,photoId,x_pca,y_pca,z_pca
bipoc,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJXdODAZHOaG0rI,Q2.1,-0.1943015527564737,-0.08130487489796509,-0.1636158598916352
bipoc,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37SAhyROGBWVpVs, Q3.1,-0.17013832066219275,-0.40085511178183464,-0.10250659781012113
bipoc,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QLhY3LefdXzwfI, Q4.1,-0.20526835302225138,-0.4739079136322653,-0.12404111397728033
bipoc,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egtCOrU9KOm233M, Q5.1,-0.2199681630737267,0.15821511100484892,0.13778421417882653
white,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Amo6fqrutcZYZo, Q6.1,-0.20245012449825509,-0.21295928956072235,-0.2014598995702067
white,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XqAx3FzoRDFZt4, Q7.1,-0.25136685161171,-0.1786372064873175,0.32883116878900054
white,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7PC2cgcyr5yUiOy, Q8.1,-0.1783918217546387,-0.05838911118778582,-0.13493485264945707
white,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9Gfr3sYkHq3hHG6, Q9.1,-0.003642469726217658,-0.37364495193693714,-0.06974733650822307
bipoc,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvFjQlP07m9S7VY, Q10.1,-0.21204235123396198,-0.38920544348645053,-0.08817251237121479
bipoc,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zxryb4o2ZDgHDo, Q11.1,-0.14518560504310532,-0.37969910268566975,-0.12473719789139333
bipoc,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cIvdFisSzzSMNRI, Q12.1,-0.22105288351795965,-0.45797335440882675,-0.08323506287422515
bipoc,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_envzka9NlloQh7g, Q13.1,-0.12532837792853294,-0.34404969064628155,-0.13660080058472948
white,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_er3kGiV5nUJCkse, Q14.1,-0.21330387306591897,-0.4814215117857365,-0.05843612417398148
white,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_51ruTTJP1FaUeX4, Q15.1,0.22475966048179838,-0.1829948784432105,-0.06306414015735877
white,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Iuz8TahQUf5rCu, Q16.1,-0.24011874636869818,-0.3647270240910793,0.01499136064992107
white,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3dtGv9tzZmLa4Cy, Q17.1,-0.12610652380956328,-0.3521229856441034,-0.10708133100960056
bipoc,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6qVleJUYoACmf6C, Q18.1,-0.19195972787988275,-0.1720781748218289,0.12762457470779523
bipoc,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HJDfrqWWlJ7wRU, Q19.1,-0.08845619429602615,-0.12814440553919376,-0.14203751120603314
bipoc,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54KW05fRgzNmLfE, Q20.1,-0.17801159158124308,-0.14677724854536528,0.02933201941180949
bipoc,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aY2MoY6bfggUc9E, Q21.1,0.0007762432580121683,-0.2126889404866047,-0.2263387331904723
white,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1H2GqqCbhjjnp3g, Q22.1,0.017779658522500536,-0.16934036833672367,-0.11624840535856035
white,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXRPI85VJ3YAOdo, Q23.1,-0.2081982461304552,-0.13587781635096818,0.21844478656234037
white,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1z4YnfSQVdhj1Rk, Q24.1,-0.1169858166691648,-0.2041119760149,-0.09887562714365519
white,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_24ukMlBx2IZMMuO, Q25.1,-0.046660773983599343,-0.21314990095736544,-0.14178317214386396
bipoc,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5uIGlackw1zchRY, Q26.1,0.4258786064999993,0.2660274461047196,-0.05734782960153039
bipoc,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1LJr1XMUNEEqjEq, Q27.1,0.8535124996610732,0.0014883347990580723,0.11542095516190506
bipoc,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVKZzBmzWSoXCXY, Q28.1,0.679637749379834,0.07879856186481057,0.03501743487746132
bipoc,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_da53a1yGEedpOJg, Q29.1,0.9001378658326967,-0.003739020451472683,0.16337022810917123
white,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6hVt2pmEYV6YLwG, Q30.1,0.8103567773527093,0.01463583428386033,0.0966968225886954
white,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9shhhARAg1o8QcK, Q31.1,0.8638728420242044,0.0018756947571537258,0.1246838204831055
white,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3CWGONIxkNEfLbU, Q32.1,0.8888844485754144,-0.015180131345772613,0.13028227507122878
white,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0lBpULniZBM24Pc, Q33.1,0.9017908972181942,-0.01752088719459833,0.14296855006789988
bipoc,female,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_80TvOXpOXat9RxI, Q34.1,-0.16949662266901253,0.46593175980556517,-0.2630505935274568
bipoc,female,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9H2fzde2Rkxr2VU, Q35.1,0.37457126501022053,0.3491968165720311,-0.1256954858498676
bipoc,male,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMDFM510Dzc4NKu, Q36.1,-0.2069252599450831,0.6023294270115138,-0.2574965054336789
bipoc,male,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aXk5I4i1e3iZEzk, Q37.1,-0.20364393014394608,0.5492642091313248,-0.22199513395284032
white,female,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3lu3qPA43hGxJ4y, Q38.1,-0.19711068414682933,0.5588974520279875,-0.18278155339769525
white,female,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0pPXIzq4Mrfh7ka, Q39.1,-0.14620690536043796,0.7268683267043937,-0.3591969335240132
white,male,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_blolyGQSOOsUfLE, Q40.1,-0.21153818113726114,0.4729368692424731,-0.2467066013651097
white,male,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVlK7szVW3JAA4K, Q41.1,-0.06387321890941,0.638961258860084,-0.32489463182152756
bipoc,female,adult,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KEpMh9qlyvMRAa, Q42.1,-0.2748342885506538,0.11609044147750772,0.6937931433959104
bipoc,female,child,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_etimLaMrS2pVAAS, Q43.1,-0.2678025081362692,0.14104603087471354,0.861233279865867
bipoc,male,adult,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dbf2dyj7KGtrN2e, Q44.1,-0.263073847667168,0.08867519927895373,0.5286698972912298
bipoc,male,child,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eVzPpFKIfopOW1w, Q45.1,-0.2657907822001673,0.10603417154757132,0.8188185000201155
white,female,adult,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EKbisrli19qicS, Q46.1,-0.2655574528112044,0.0953741384008975,0.7686388164249546
white,female,child,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55Rjm0S1oR1ox1k, Q47.1,-0.26428573382157994,0.13514309571094565,0.8118538729697367
white,male,adult,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8j4LSlE16vL228e, Q48.1,-0.23669152485158762,0.11376685122019406,0.16210531199837205
white,male,child,sadness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1BzaOxAnlvpmh8i, Q49.1,-0.28817784506045435,0.10507542540196912,0.7857088987463623
bipoc,female,adult,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8FZs4DGyzYKeKQ6, Q50.1,0.6649921656464727,0.0230064409329255,0.023707878144389086
bipoc,female,child,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_06dsRWFrfc92PVI, Q51.1,-0.059501527449553934,-0.1567128175897847,-0.2774744615407363
bipoc,male,adult,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0JI5joczfCXyM4K, Q52.1,-0.031035121903652672,-0.18836300742801665,-0.2536172683414584
bipoc,male,child,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_39MTmWdmGCliDga, Q53.1,0.48629692468096186,-0.06543429266304057,-0.04944822779046864
white,female,adult,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1X6032Sa3Q1kaKa, Q54.1,-0.06225674030656741,-0.13709756464408318,-0.20740747304186546
white,female,child,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ah0qjH5kqDuQUhE, Q55.1,0.10644004381453048,-0.15070754062434252,-0.22648540805407408
white,male,adult,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yvGSAqzpAmAcT4, Q56.1,-0.03151941193087897,-0.1596251902940573,-0.22464114294767862
white,male,child,surprise,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmTME6d2MAg1Tb8, Q57.1,-0.07949496762003887,0.25340082741928116,-0.3493986632853557
bipoc,female,adult,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6x0zlBArY56cHem, Q58.1,0.03708388476111178,-0.16024197262464254,-0.08427001471196421
bipoc,female,child,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9BqHT20xS13gotg, Q59.1,-0.20828596981163727,0.4766134550229167,-0.1486666053822476
bipoc,male,adult,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8feaAnE3DavOGFg, Q60.1,-0.052226223841486744,0.027082569394051736,-0.19746841463549408
bipoc,male,child,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0v92GxoJl7KL9HM, Q61.1,0.30317529266885357,0.1313068083538105,-0.13144382984082081
white,female,adult,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88R1RMz4mseoRkW, Q62.1,-0.2555976699154128,-0.16228290662907424,-0.15920101039064607
white,female,child,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jkP8HhjPXmgNPE, Q63.1,-0.16048636427961355,0.005519621594402958,0.11481043815133235
white,male,adult,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_81e4y8XbeDW4Ew6, Q64.1,-0.14968780730942946,-0.0824029647397318,-0.21120533685763843
white,male,child,uncertain,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6lfDwHho7YysGIS, Q65.1,-0.17812290709972106,0.16943616646099413,-0.27162694535751936
,,,attention,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bHKuEbEutfv7zuu, Q66.1,0.022398789856143297,-0.03561521032020138,0.033280346303143506
bipoc,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6J5KVNyTENDNC4K, Q67.1,-0.2248495321117152,-0.3358926057483427,0.007418268317096561
bipoc,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ehdQVRQn8kI6rNI, Q68.1,-0.1970738515120425,0.2401376247532345,-0.23583276545892576
bipoc,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4OulgTPxBAgu0Qu, Q69.1,-0.2021711854340332,0.372851554772416,-0.2721658486302439
bipoc,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_82jdttMjk3552E6, Q70.1,-0.2064674308090276,-0.47793031590127644,-0.05558531844974414
white,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b1KYrTe9d0HebfU, Q71.1,-0.21798269007060356,-0.49946757870816355,-0.07174877368082863
white,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QtW28KFGllSVBI, Q72.1,-0.15569035024949016,-0.12129043703791044,-0.09126838202718617
white,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eb7s42ZIPiC9Z66, Q73.1,-0.21378360658208054,-0.4892733495695191,-0.08999824027361272
white,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dhTzFnZMWrTfBGK, Q74.1,-0.1876915987126081,-0.4770361832731909,-0.08748891607748903
bipoc,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0kOdQHclITzXgIC, Q75.1,-0.2089360077906589,-0.2848157509364119,-0.011396560179267701
bipoc,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e9BJyTeFPLQ7ZUq, Q76.1,-0.19930052409866117,-0.04652443073499609,-0.033696477350731495
bipoc,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Zx26VAbwv9uFFQ, Q77.1,-0.2173863888606229,-0.4796347314099303,-0.10383609593514279
bipoc,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bjzYq2UEKkXH7aC, Q78.1,-0.23469559622145192,-0.46111356361098477,-0.08273446234719543
white,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5hkOSrFORUoHopM, Q79.1,-0.216041587773726,-0.2967002817924341,0.07324590815054623
white,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_244QOC2to2Jetca, Q80.1,-0.018285052499996925,-0.27031800494593483,-0.11552814110283186
white,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7aEgC4sWsfM5I5E, Q81.1,-0.197253409132068,-0.3937631737732769,0.11700661768635089
white,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7P182C9dn0ypgtE, Q82.1,-0.20814400248825637,-0.44017153141972415,-0.15045373249404112
bipoc,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9tzXvOnfZ589gH4, Q83.1,-0.17199490139057372,-0.046792871503155045,0.30484677353154943
bipoc,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0BVeUJelcjahWwC, Q84.1,-0.2363217448400932,0.1084521593669428,0.7882512787436687
bipoc,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e3vAzbw1fMlXZyu, Q85.1,-0.13271560403956173,-0.20280363082902575,-0.1136680156510693
bipoc,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byJrSqTzp3ZhZ9Y, Q86.1,-0.14211289842418395,0.05212788856616089,-0.3035318089213205
