ethnicity,sex,age,label,url,photoId,x_pca,y_pca,z_pca
bipoc,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJXdODAZHOaG0rI,Q2.1,-0.1076441944766323,-0.4025151440365167,-0.9805107363138355
bipoc,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37SAhyROGBWVpVs, Q3.1,-0.5996033741461309,-0.12487286559994983,-0.7430206003327269
bipoc,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QLhY3LefdXzwfI, Q4.1,-0.699756362480936,-0.2245958759336284,-0.7753482654503061
bipoc,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egtCOrU9KOm233M, Q5.1,0.019606008926244926,-0.5547884511756147,0.12010739628146623
white,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Amo6fqrutcZYZo, Q6.1,-0.4635615905477545,-0.29819292098678196,-0.8466035709054065
white,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XqAx3FzoRDFZt4, Q7.1,-0.7238597531834273,-0.26778265516329364,-0.07104793361622952
white,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7PC2cgcyr5yUiOy, Q8.1,0.08847174818369186,-0.5605165163294533,-0.8924390730568998
white,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9Gfr3sYkHq3hHG6, Q9.1,-0.5338883292699668,0.7060299519835912,-0.6356871742400582
bipoc,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvFjQlP07m9S7VY, Q10.1,-0.2945367132744831,-0.19979573177151982,-0.9899402871921391
bipoc,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zxryb4o2ZDgHDo, Q11.1,-0.4392863972382648,0.5027565822480455,-0.7074614245480896
